Iterasi,Source,Dest,Path,Node,Energi (Volt),Digunakan
23,A,O,A -> B -> E -> H -> K -> M -> O,J,4.199196,Ya
23,A,O,A -> B -> E -> H -> K -> M -> O,K,4.199196,Ya
23,A,O,A -> B -> E -> H -> K -> M -> O,L,4.199196,Ya
23,A,O,A -> B -> E -> H -> K -> M -> O,M,4.199196,Ya
23,A,O,A -> B -> E -> H -> K -> M -> O,N,4.199196,Ya
23,A,O,A -> B -> E -> H -> K -> M -> O,O,4.199196,Ya
24,A,O,A -> B -> E -> H -> K -> M -> O,A,4.199161,Ya
24,A,O,A -> B -> E -> H -> K -> M -> O,B,4.199161,Ya
24,A,O,A -> B -> E -> H -> K -> M -> O,C,4.199161,Ya
24,A,O,A -> B -> E -> H -> K -> M -> O,D,4.199161,Ya
24,A,O,A -> B -> E -> H -> K -> M -> O,E,4.199161,Ya
24,A,O,A -> B -> E -> H -> K -> M -> O,F,4.199161,Ya
24,A,O,A -> B -> E -> H -> K -> M -> O,G,4.199161,Ya
24,A,O,A -> B -> E -> H -> K -> M -> O,H,4.199161,Ya
24,A,O,A -> B -> E -> H -> K -> M -> O,I,4.199161,Ya
24,A,O,A -> B -> E -> H -> K -> M -> O,J,4.199161,Ya
24,A,O,A -> B -> E -> H -> K -> M -> O,K,4.199161,Ya
24,A,O,A -> B -> E -> H -> K -> M -> O,L,4.199161,Ya
24,A,O,A -> B -> E -> H -> K -> M -> O,M,4.199161,Ya
24,A,O,A -> B -> E -> H -> K -> M -> O,N,4.199161,Ya
24,A,O,A -> B -> E -> H -> K -> M -> O,O,4.199161,Ya
25,A,O,A -> B -> E -> H -> K -> M -> O,A,4.199126,Ya
25,A,O,A -> B -> E -> H -> K -> M -> O,B,4.199126,Ya
25,A,O,A -> B -> E -> H -> K -> M -> O,C,4.199126,Ya
25,A,O,A -> B -> E -> H -> K -> M -> O,D,4.199126,Ya
25,A,O,A -> B -> E -> H -> K -> M -> O,E,4.199126,Ya
25,A,O,A -> B -> E -> H -> K -> M -> O,F,4.199126,Ya
25,A,O,A -> B -> E -> H -> K -> M -> O,G,4.199126,Ya
25,A,O,A -> B -> E -> H -> K -> M -> O,H,4.199126,Ya
25,A,O,A -> B -> E -> H -> K -> M -> O,I,4.199126,Ya
25,A,O,A -> B -> E -> H -> K -> M -> O,J,4.199126,Ya
25,A,O,A -> B -> E -> H -> K -> M -> O,K,4.199126,Ya
25,A,O,A -> B -> E -> H -> K -> M -> O,L,4.199126,Ya
25,A,O,A -> B -> E -> H -> K -> M -> O,M,4.199126,Ya
25,A,O,A -> B -> E -> H -> K -> M -> O,N,4.199126,Ya
